,line,title,image_url,scraped_at,image_name,next_bid_auction,price_buy_now,ends_on,time_remaining,seconds_remaining,sale_type
258,starwars,LEGO Star Wars JEK-14’s Stealth 75018,https://img.ricardostatic.ch/t_1800x1350/pl/1142222726/3/1/,2020-12-28 09:55:14,258_legosets.jpg,79.0,99.0,2020-12-29 19:30:00,1 days 09:34:46,34486,both
259,starwars,Lego Star Wars Figur Offizier Imperium,https://img.ricardostatic.ch/t_1000x750/pl/1149623312/1/1/lego-star-wars-figur-offizier-imperium.jpg,2020-12-28 09:55:17,259_legosets.jpg,7.0,,2020-12-29 19:41:00,1 days 09:45:43,35143,auction
260,starwars,LEGO ARF Elite Clone Trooper,https://img.ricardostatic.ch/t_1800x1350/pl/1147777362/0/1/,2020-12-28 09:55:21,260_legosets.jpg,5.0,,2020-12-30 20:59:00,2 days 11:03:39,39819,auction
261,starwars,LEGO Star Wars [75044 Droid Tri-Fighter],https://img.ricardostatic.ch/t_1800x1350/pl/1149616404/0/1/,2020-12-28 09:55:25,261_legosets.jpg,19.0,45.0,2021-01-02 05:07:00,4 days 19:11:35,69095,both
262,starwars,LEGO Star Wars Palpatines Gefang 9526,https://img.ricardostatic.ch/t_1800x1350/pl/1128710586/4/1/,2020-12-28 09:55:29,262_legosets.jpg,189.0,229.0,2021-01-06 16:29:00,9 days 06:33:31,23611,both
263,starwars,Lego 7879 Star Wars Hoth Echo Base,https://img.ricardostatic.ch/t_1800x1350/pl/1128445012/5/1/,2020-12-28 09:55:32,263_legosets.jpg,149.0,199.0,2020-12-31 17:31:00,3 days 07:35:28,27328,both
264,starwars,Lego Star Wars - 9488,https://img.ricardostatic.ch/t_1800x1350/pl/1146761744/3/1/,2020-12-28 09:55:36,264_legosets.jpg,25.0,40.0,2021-01-03 11:10:00,6 days 01:14:24,4464,both
265,starwars,LEGO Star Wars Jedi Interceptor 75038,https://img.ricardostatic.ch/t_1800x1350/pl/1137027424/3/1/,2020-12-28 09:55:40,265_legosets.jpg,25.0,40.0,2021-01-05 19:30:00,8 days 09:34:20,34460,both
266,starwars,Lego 9494 Anakin’s Jedi Minifiguren,https://img.ricardostatic.ch/t_1800x1350/pl/1150548732/0/1/,2020-12-28 09:55:44,266_legosets.jpg,,26.9,2020-12-30 13:33:00,2 days 03:37:16,13036,buy_now
267,starwars,LEGO Star Wars [75002 AT-RT],https://img.ricardostatic.ch/t_1800x1350/pl/1149547100/1/1/,2020-12-28 09:55:48,267_legosets.jpg,23.0,,2021-01-02 14:00:00,5 days 04:04:12,14652,auction
268,starwars,Lego Star Wars Sith Nightspeeder,https://img.ricardostatic.ch/t_1800x1350/pl/1146251762/0/1/,2020-12-28 09:55:52,268_legosets.jpg,25.0,35.0,2021-01-04 06:07:00,6 days 20:11:08,72668,both
269,starwars,LEGO Star Wars AT-TE 4482,https://img.ricardostatic.ch/t_1800x1350/pl/1131052404/6/1/,2020-12-28 09:55:55,269_legosets.jpg,229.0,299.0,2020-12-30 15:31:00,2 days 05:35:05,20105,both
270,starwars,LEGO Star Wars 7163 - Republic Gunship,https://img.ricardostatic.ch/t_1800x1350/pl/1140272688/2/1/,2020-12-28 09:55:59,270_legosets.jpg,339.0,389.0,2020-12-29 18:40:00,1 days 08:44:01,31441,both
271,starwars,LEGO Star Wars AT-AP Walker 7671,https://img.ricardostatic.ch/t_1800x1350/pl/1134769620/3/1/,2020-12-28 09:56:03,271_legosets.jpg,119.0,169.0,2021-01-04 16:30:00,7 days 06:33:57,23637,both
272,starwars,LEGO® Resistance Trooper Battle Pack,https://img.ricardostatic.ch/t_1800x1350/pl/1146679108/0/1/,2020-12-28 09:56:07,272_legosets.jpg,19.0,,2021-01-03 06:31:00,5 days 20:34:53,74093,auction
273,starwars,Lego Star Wars UCS Minifigur,https://img.ricardostatic.ch/t_1000x750/pl/1151913084/0/1/lego-star-wars-ucs-minifigur.jpg,2020-12-28 09:56:11,273_legosets.jpg,40.0,,2021-01-03 00:41:00,5 days 14:44:49,53089,auction
274,starwars,Lego Star Wars UCS Snowspeeder Pilot,https://img.ricardostatic.ch/t_1000x750/pl/1151913506/0/1/lego-star-wars-ucs-snowspeeder-pilot.jpg,2020-12-28 09:56:14,274_legosets.jpg,29.0,,2021-01-03 00:45:00,5 days 14:48:46,53326,auction
275,starwars,Lego Star Wars UCS Instructions,https://img.ricardostatic.ch/t_1000x750/pl/1151916452/1/1/lego-star-wars-ucs-instructions.jpg,2020-12-28 09:56:18,275_legosets.jpg,59.0,,2021-01-03 01:11:00,5 days 15:14:42,54882,auction
276,starwars,Lego Star Wars UCS Instructions Slave,https://img.ricardostatic.ch/t_1000x750/pl/1151916576/0/1/lego-star-wars-ucs-instructions-slave.jpg,2020-12-28 09:56:22,276_legosets.jpg,29.0,,2021-01-03 01:12:00,5 days 15:15:38,54938,auction
277,starwars,Lego Star Wars UCS Instructions,https://img.ricardostatic.ch/t_1000x750/pl/1151916730/0/1/lego-star-wars-ucs-instructions.jpg,2020-12-28 09:56:26,277_legosets.jpg,29.0,,2021-01-03 01:13:00,5 days 15:16:34,54994,auction
278,starwars,Lego Star Wars UCS Instructions,https://img.ricardostatic.ch/t_1000x750/pl/1151916884/0/1/lego-star-wars-ucs-instructions.jpg,2020-12-28 09:56:30,278_legosets.jpg,29.0,,2021-01-03 01:15:00,5 days 15:18:30,55110,auction
